
1.006,4.390,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.112,4.497,0.000,0.171,6.118,0.001,6.009,0.000,1.782,0.923,0.842,4.147,3.042,3.359,0.000,2.199,3.088,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.211,4.595,0.000,0.171,6.104,0.001,6.071,0.000,1.828,0.929,0.840,4.201,3.049,3.337,0.000,2.194,3.047,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.309,4.693,0.000,0.171,6.093,-0.001,6.077,0.000,1.869,0.934,0.839,4.247,3.055,3.319,0.000,2.191,3.015,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.404,4.788,0.000,0.171,6.083,0.000,6.094,0.000,1.907,0.939,0.837,4.291,3.061,3.303,0.000,2.188,2.986,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.503,4.888,0.000,0.171,6.075,0.000,6.130,0.000,1.940,0.943,0.836,4.327,3.066,3.291,0.000,2.186,2.963,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.602,4.986,0.000,0.171,6.069,0.000,6.148,0.000,1.967,0.947,0.836,4.357,3.070,3.282,0.000,2.184,2.945,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.701,5.085,0.000,0.171,6.063,-0.001,6.170,0.000,1.990,0.949,0.835,4.381,3.074,3.274,0.000,2.183,2.931,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.813,5.198,0.000,0.171,6.059,0.002,6.176,0.000,2.009,0.952,0.835,4.401,3.077,3.268,0.000,2.182,2.920,0.000,2.404,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
1.914,5.299,0.001,0.171,6.055,0.099,6.131,0.000,2.030,0.954,0.834,4.424,3.081,3.262,0.000,2.181,2.908,0.000,2.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.002,5.387,0.050,0.159,6.061,0.909,0.259,0.000,2.030,0.964,0.847,4.467,3.127,3.325,0.000,2.171,2.908,0.000,2.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.107,5.491,0.169,0.133,6.070,1.397,6.280,0.000,2.052,0.990,0.874,4.595,3.243,3.469,0.000,2.146,2.897,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.210,5.594,0.288,0.107,6.070,0.997,6.277,0.000,2.112,1.019,0.900,4.767,3.364,3.599,0.000,2.120,2.863,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.302,5.687,0.371,0.089,6.070,0.834,6.277,0.000,2.154,1.039,0.918,1.258,3.449,3.690,0.000,2.102,2.838,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.411,5.795,0.461,0.070,6.070,1.053,6.277,0.000,2.200,1.061,0.938,1.285,3.541,3.789,0.000,2.083,2.812,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.515,5.900,0.566,0.047,6.070,1.087,6.276,0.000,2.256,1.088,0.961,1.316,3.649,3.903,0.000,2.060,2.780,0.000,0.404,4.778,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.614,5.999,0.666,0.026,6.070,0.976,6.279,0.000,2.308,1.112,0.983,1.345,3.751,4.011,2.143,2.038,2.750,0.000,0.404,4.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.704,6.088,0.757,0.006,6.069,0.936,6.278,0.000,2.357,1.135,1.002,1.372,3.845,4.111,2.134,2.018,2.723,0.000,0.404,4.246,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.807,6.191,0.847,-0.014,6.069,0.942,6.278,0.000,2.404,1.157,1.022,1.399,3.937,4.209,2.290,1.998,2.696,0.000,0.404,4.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
2.910,6.294,0.939,-0.034,6.069,0.969,6.278,0.000,2.452,1.180,1.042,1.426,4.031,4.309,2.268,1.978,2.668,0.000,0.404,3.774,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.014,6.398,1.034,-0.054,6.069,1.006,6.278,0.000,2.501,1.204,1.063,1.454,4.128,4.413,2.244,1.958,2.640,0.000,0.404,3.531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.103,6.488,1.132,-0.076,6.069,1.027,6.278,0.000,2.553,1.228,1.085,1.484,4.229,4.520,2.219,1.936,2.611,0.000,0.404,3.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.207,6.591,1.230,-0.097,6.069,1.011,6.278,0.000,2.604,1.253,1.106,1.513,4.329,4.627,2.195,1.915,2.582,0.000,0.404,3.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.312,6.696,1.327,-0.118,6.069,1.004,6.278,0.000,2.654,1.277,1.127,1.542,4.428,4.733,2.171,1.893,2.553,0.000,2.826,2.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
3.401,6.785,1.424,-0.139,6.069,1.013,6.278,0.000,2.704,1.301,1.149,1.571,4.528,4.839,2.146,1.872,2.525,0.000,2.861,2.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,
